County Name,Priority Area Number,Priority Area,Focus Area Number,Focus Area,Indicator Order on County Dashboard,Indicator ID,Indicator,Event Count/Rate,Average Number of Denominator/Rate,Measure Unit,Percentage/Rate/Ratio,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Quartile,2024 Objective,Objective Region,Data Years,Date Source
Nassau,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Niagara,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Oneida,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Onondaga,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Ontario,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Orange,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Orleans,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Oswego,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Otsego,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Putnam,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Rensselaer,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Rockland,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
St. Lawrence,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Saratoga,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Schenectady,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Schoharie,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Schuyler,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Seneca,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Steuben,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Suffolk,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Sullivan,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Tioga,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Tompkins,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Ulster,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Warren,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Washington,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Wayne,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Westchester,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Wyoming,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Yates,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Bronx,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,60.3,47.2,73.3,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Kings,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,57.1,43.9,70.3,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
New York,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,54.2,39.5,68.9,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Queens,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,52.8,38.6,67.1,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Richmond,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,,.,.,Data Suppressed,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Long Island,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,68.2,54.3,82.2,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
New York City,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,57.8,50.5,65.1,,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Mid-Hudson,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,56.6,42.7,70.5,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Capital Region,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,66.7,53,80.5,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Mohawk Valley,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,63.7,52.6,74.7,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
North Country,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,55,42.9,67.1,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Tug Hill Seaway,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,55.3,35,75.7,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Central NY,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,56.8,42.2,71.4,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Southern Tier,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,66,54.4,77.6,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Finger Lakes,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,61.3,52.4,70.1,,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Western NY,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,61.3,50,72.6,Unstable Estimate,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
New York State (excluding NYC),1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,62.2,57.3,67.1,,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
New York State,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,13.1,pa35.1_0,"Percentage of adults with an annual household income less than $25,000 who had a test for high blood sugar or diabetes within the past three years, aged 45+ years",,,Percent,60.3,56.1,64.5,,,67.4,New York State,2021,"NYS Behavioral Risk Factor Surveillance System, data as of October 2022"
Albany,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",408,56727,ED visit rate,71.9,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
Allegany,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",34,9254,ED visit rate,36.7,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Broome,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",148,37774,ED visit rate,39.2,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Cattaraugus,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",88,16636,ED visit rate,52.9,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Cayuga,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",67,14485,ED visit rate,46.3,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Chautauqua,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",109,25786,ED visit rate,42.3,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Chemung,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",73,17221,ED visit rate,42.4,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Chenango,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",43,9591,ED visit rate,44.8,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Clinton,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",50,14300,ED visit rate,35,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Columbia,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",47,9691,ED visit rate,48.5,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Cortland,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",39,8587,ED visit rate,45.4,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Delaware,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",45,7153,ED visit rate,62.9,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
Dutchess,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",333,54766,ED visit rate,60.8,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Erie,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",1439,190842,ED visit rate,75.4,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
Essex,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",26,5776,ED visit rate,45,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Franklin,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",32,9438,ED visit rate,33.9,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Fulton,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",51,10469,ED visit rate,48.7,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Genesee,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",43,11709,ED visit rate,36.7,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Greene,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",37,7654,ED visit rate,48.3,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Hamilton,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",,643,ED visit rate,,,,Data Suppressed,Data Not Available (N/A)/Data suppressed (s),131.1,New York State,2022,"SPARCS, data as of July 2024"
Herkimer,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",39,12209,ED visit rate,31.9,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Jefferson,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",93,27587,ED visit rate,33.7,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Lewis,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",26,6042,ED visit rate,43,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Livingston,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",55,10947,ED visit rate,50.2,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Madison,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",58,12442,ED visit rate,46.6,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Monroe,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",1420,152702,ED visit rate,93,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
Montgomery,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",41,11420,ED visit rate,35.9,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Nassau,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",1475,297913,ED visit rate,49.5,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Niagara,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",313,41842,ED visit rate,74.8,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
Oneida,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",245,49020,ED visit rate,50,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Onondaga,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",611,98209,ED visit rate,62.2,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Ontario,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",84,21590,ED visit rate,38.9,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Orange,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",663,104455,ED visit rate,63.5,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
Orleans,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",53,7491,ED visit rate,70.8,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
Oswego,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",105,24320,ED visit rate,43.2,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Otsego,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",51,8982,ED visit rate,56.8,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Putnam,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",75,19095,ED visit rate,39.3,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Rensselaer,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",193,30353,ED visit rate,63.6,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
Rockland,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",324,101131,ED visit rate,32,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
St. Lawrence,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",109,21438,ED visit rate,50.8,,,,47.6 -< 62.7 : Q3,131.1,New York State,2022,"SPARCS, data as of July 2024"
Saratoga,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",138,45610,ED visit rate,30.3,,,,< 47.6 : Q1 - Q2,131.1,New York State,2022,"SPARCS, data as of July 2024"
Schenectady,1,Prevent Chronic Diseases,4,Chronic Disease Preventive Care and Management,14,pa36_0,"Asthma emergency department visits, rate per 10,000, aged 0-17 years",250,34219,ED visit rate,73.1,,,,62.7+ : Q4,131.1,New York State,2022,"SPARCS, data as of July 2024"
